id_prueba,tipo,origen,destino,asunto,resultado_esperado,spf,dkim,dmarc,ubicacion_final,clasificacion_real,observaciones
L12,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 12,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id E7A6C44A8B; envio con envelope sender dmarc@phisdefense.com
L13,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 13,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id EADB844A8D; envio con envelope sender dmarc@phisdefense.com
L14,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 14,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id F010344A90; envio con envelope sender dmarc@phisdefense.com
L15,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 15,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 0283744A91; envio con envelope sender dmarc@phisdefense.com
L16,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 16,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 082BD44A93; envio con envelope sender dmarc@phisdefense.com
L17,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 17,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 0D6D044A95; envio con envelope sender dmarc@phisdefense.com
L18,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 18,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 1338C44A9B; envio con envelope sender dmarc@phisdefense.com
L19,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 19,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 1800C44A9D; envio con envelope sender dmarc@phisdefense.com
L20,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 20,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 1CD0544A9F; envio con envelope sender dmarc@phisdefense.com
L21,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 21,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 224264B85A; envio con envelope sender dmarc@phisdefense.com
L22,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 22,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 27E124B85D; envio con envelope sender dmarc@phisdefense.com
L23,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 23,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 2CFAB4B861; envio con envelope sender dmarc@phisdefense.com
L24,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 24,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 31C684B864; envio con envelope sender dmarc@phisdefense.com
L25,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 25,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 36F514B867; envio con envelope sender dmarc@phisdefense.com
L26,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 26,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 3BA334B86A; envio con envelope sender dmarc@phisdefense.com
L27,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 27,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 403164B86D; envio con envelope sender dmarc@phisdefense.com
L28,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 28,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 4541B4B871; envio con envelope sender dmarc@phisdefense.com
L29,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 29,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 4AE924B874; envio con envelope sender dmarc@phisdefense.com
L30,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 30,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id 509DE4B877; envio con envelope sender dmarc@phisdefense.com
L31,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 31,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 5A15D4B96E; envio con envelope sender dmarc@phisdefense.com
L32,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 32,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 5D1984B972; envio con envelope sender dmarc@phisdefense.com
L33,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 33,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 61D774B976; envio con envelope sender dmarc@phisdefense.com
L34,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 34,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 66CFF4B97A; envio con envelope sender dmarc@phisdefense.com
L35,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 35,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 6D2A84B97E; envio con envelope sender dmarc@phisdefense.com
L36,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 36,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 720734B982; envio con envelope sender dmarc@phisdefense.com
L37,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 37,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 76E8C4B986; envio con envelope sender dmarc@phisdefense.com
L38,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 38,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 7CA854B98A; envio con envelope sender dmarc@phisdefense.com
L39,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 39,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 83A6C4B98E; envio con envelope sender dmarc@phisdefense.com
L40,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 40,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 886D54B992; envio con envelope sender dmarc@phisdefense.com
L41,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 41,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 8D3E34B996; envio con envelope sender dmarc@phisdefense.com
L42,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 42,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 92BE64B99A; envio con envelope sender dmarc@phisdefense.com
L43,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 43,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 989C24B99E; envio con envelope sender dmarc@phisdefense.com
L44,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 44,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 9DAA34B9A2; envio con envelope sender dmarc@phisdefense.com
L45,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 45,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id A2F3F4B9A6; envio con envelope sender dmarc@phisdefense.com
L46,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 46,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 107964B9B8; envio con envelope sender dmarc@phisdefense.com
L47,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 47,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 142AB4B9BC; envio con envelope sender dmarc@phisdefense.com
L48,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 48,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 19BAE4B9C0; envio con envelope sender dmarc@phisdefense.com
L49,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 49,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 21FAA4B9C4; envio con envelope sender dmarc@phisdefense.com
L50,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 50,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 281BD4B9C4; envio con envelope sender dmarc@phisdefense.com
L51,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 51,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 2D7C34B9CA; envio con envelope sender dmarc@phisdefense.com
L52,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 52,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 32B314B9CE; envio con envelope sender dmarc@phisdefense.com
L53,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 53,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 381514B9D2; envio con envelope sender dmarc@phisdefense.com
L54,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 54,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 3DBF44B9D6; envio con envelope sender dmarc@phisdefense.com
L55,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 55,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 4380F4B9DA; envio con envelope sender dmarc@phisdefense.com
L56,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 56,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 48C304B9DE; envio con envelope sender dmarc@phisdefense.com
L57,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 57,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 4EFB64B9E2; envio con envelope sender dmarc@phisdefense.com
L58,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 58,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 544514B9E4; envio con envelope sender dmarc@phisdefense.com
L59,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 59,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 59B624B9EA; envio con envelope sender dmarc@phisdefense.com
L60,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 60,legitimo,pass,pass,pass,spam,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en spam; queue id 5EDED4B9EE; envio con envelope sender dmarc@phisdefense.com
S11,spoofing,emkei.cz,dmarc@phisdefense.com,Prueba spoofing DMARC 1,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject; queue id D0F5243B6C; from=admin@phisdefense.com; IP 114.29.236.247
S12,spoofing,emkei.cz,dmarc@phisdefense.com,Prueba spoofing DMARC 2,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject; queue id 54E6D43B6C; from=admin@phisdefense.com; IP 114.29.236.247
S13,spoofing,emkei.cz,dmarc@phisdefense.com,Prueba spoofing DMARC 3,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject; queue id 6B8EB43B6C; from=admin@phisdefense.com; IP 114.29.236.247
S14,spoofing,emkei.cz,dmarc@phisdefense.com,Prueba spoofing DMARC 4,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject; queue id EE08B43B6C; from=admin@phisdefense.com; IP 114.29.236.247
S15,spoofing,emkei.cz,dmarc@phisdefense.com,Prueba spoofing DMARC 5,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject; queue id 2CCB243B6C; from=admin@phisdefense.com; IP 114.29.236.247
S16,spoofing,emkei.cz,dmarc@phisdefense.com,Prueba spoofing DMARC 6,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject; queue id A5B7443B70; from=admin@phisdefense.com; IP 114.29.236.247
S17,spoofing,emkei.cz,dmarc@phisdefense.com,Prueba spoofing DMARC 7,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject; queue id 9F08943B70; from=admin@phisdefense.com; IP 114.29.236.247
S18,spoofing,emkei.cz,dmarc@phisdefense.com,Prueba spoofing DMARC 8,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject; queue id 6190E43B70; from=admin@phisdefense.com; IP 114.29.236.247
S19,spoofing,emkei.cz,dmarc@phisdefense.com,Prueba spoofing DMARC 9,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject; queue id 7146B43B70; from=admin@phisdefense.com; IP 114.29.236.247
S20,spoofing,emkei.cz,dmarc@phisdefense.com,Prueba spoofing DMARC 10,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject; queue id 61B2143B70; from=admin@phisdefense.com; IP 114.29.236.247
